Rk,Pick,YR,HT,PLAYER,TEAM,CONF,G,ROLE,MIN_PCT,PRPG,D_PRPG,BPM,OBPM,DBPM,ORTG,DRTG,USG,EFG,TS,OR,DR,AST,TO,A_TO,BLK,STL,FTR,FC40,DUNKS_MADE_ATT,DUNKS_PCT,CLOSE_2_MADE_ATT,CLOSE_2_PCT,FAR_2_MADE_ATT,FAR_2_PCT,FT_MADE_ATT,FT_PCT,2P_MADE_ATT,2P_PCT,3PR,3P_PER_100,3P_MADE_ATT,3P_PCT
512,-,Jr,6-7,Camden Heide,Texas,SEC,34,Wing G,54.5,2.6,2.2,3.3,2.4,0.9,139.2,106.2,10.0,65.5,66.0,4.4,9.6,4.4,9.2,1.5,0.5,1.1,12.0,4.4,9-10,.900,19-31,.613,2-5,.400,12-17,.706,21-36,.583,74.6,8.1,48-106,.453
513,-,Jr,6-0,Damari Wheeler-Thomas,North Dakota St.,Sum,29,Combo G,68.9,2.6,2.6,1.2,1.4,-0.2,115.2,109.3,23.7,49.9,54.6,3.8,10.2,16.1,11.6,1.9,0.0,2.0,38.8,3.4,0-0,.000,44-88,.500,24-70,.343,99-130,.762,68-158,.430,52.8,11.6,66-177,.373
514,-,So,6-10,Austin Rapp,Wisconsin,B10,30,Stretch 4,48.9,2.6,2.5,5.5,4.2,1.3,120.1,103.0,19.5,54.6,57.8,5.3,14.4,12.3,10.8,1.9,2.4,1.2,21.0,3.3,6-6,1.000,35-56,.625,3-13,.231,41-48,.854,38-69,.551,69.9,13.4,58-160,.362
515,-,Sr,6-4,Michael Osei-Bonsu,Missouri St.,CUSA,28,PF/C,63.7,2.6,2.6,2.7,2.1,0.6,106.7,107.5,30.2,57.6,57.3,12.0,19.0,20.3,18.1,1.0,3.2,2.6,61.6,5.0,3-3,1.000,124-194,.639,47-103,.456,98-183,.536,171-297,.576,0.0,0.0,0-0,.000
516,-,Sr,6-8,Cam Morris III,East Tennessee St.,SC,32,Wing F,64.6,2.6,2.7,3.5,2.3,1.2,120.0,104.3,25.2,59.9,62.2,9.2,15.6,12.2,13.2,1.1,6.3,2.8,61.4,4.0,24-25,.960,122-186,.656,23-51,.451,109-164,.665,145-237,.612,11.2,2.2,10-30,.333
517,-,Jr,6-7,Justin McBride,James Madison,SB,30,Stretch 4,63.3,2.6,2.0,1.6,2.8,-1.2,113.6,113.1,26.8,55.5,59.1,5.6,17.1,11.8,14.6,0.8,2.5,0.8,33.2,3.8,5-5,1.000,96-148,.649,34-96,.354,87-112,.777,130-244,.533,27.6,6.7,38-93,.409
518,-,Jr,6-7,Rihards Vavers,Washington St.,WCC,28,Wing F,57.1,2.6,2.0,3.9,4.5,-0.6,122.7,111.5,17.4,61.0,63.5,3.6,14.9,3.5,11.4,0.5,1.2,1.5,18.4,1.9,2-3,.667,33-40,.825,4-18,.222,36-41,.878,37-58,.638,74.0,13.6,66-165,.400
519,-,So,6-3,Elijah Crawford,Illinois Chicago,MVC,23,Pure PG,44.4,2.6,2.6,4.6,3.1,1.5,107.3,104.9,31.1,49.3,53.0,1.9,11.2,43.0,19.0,1.9,1.4,3.3,30.3,2.8,2-2,1.000,43-59,.729,57-132,.432,61-81,.753,100-191,.524,28.5,7.6,21-76,.276
520,-,Sr,6-9,William Kyle III,Syracuse,ACC,32,C,68.8,2.6,3.5,6.6,3.0,3.6,121.4,97.9,15.4,66.1,62.7,11.6,17.2,5.9,14.0,0.9,9.6,2.1,64.2,2.7,59-68,.868,104-147,.707,5-18,.278,52-106,.491,109-165,.661,0.0,0.0,0-0,.000
521,-,Jr,7-2,Anton Bonke,Charlotte,Amer,33,C,62.9,2.6,2.3,2.7,2.9,-0.2,119.4,108.4,21.3,60.0,61.6,14.4,23.7,9.1,17.0,0.7,6.8,0.6,39.3,3.5,55-58,.948,101-148,.682,20-48,.417,61-92,.663,121-196,.617,16.2,2.8,13-38,.342
522,-,Fr,6-6,Jamier Jones,Providence,BE,31,Wing G,58.9,2.6,2.3,2.6,2.1,0.5,114.1,108.5,21.3,59.5,61.7,5.9,13.1,9.6,17.6,0.8,1.0,1.9,55.3,3.6,54-62,.871,119-186,.640,4-20,.200,87-131,.664,123-206,.597,13.1,2.2,12-31,.387
523,-,Fr,6-7,Ivan Kharchenkov,Arizona,B12,39,Wing G,70.6,2.6,4.3,8.0,3.3,4.7,116.3,90.6,17.4,54.6,57.5,4.7,11.1,13.0,16.6,1.6,1.0,2.7,33.1,2.2,7-7,1.000,86-129,.667,31-72,.431,73-101,.723,117-201,.582,34.1,5.3,33-104,.317
524,-,Sr,6-8,Jacob Crews,Missouri,SEC,33,Stretch 4,51.3,2.6,1.9,3.6,4.5,-1.0,132.6,107.3,15.6,61.6,64.8,7.8,13.1,2.1,9.8,0.4,0.7,0.6,31.9,3.0,6-6,1.000,26-37,.703,4-19,.211,48-59,.814,30-56,.536,69.7,10.9,56-129,.434
525,-,Sr,6-5,Josh Omojafo,South Florida,Amer,33,Wing G,67.2,2.6,2.9,3.0,2.0,1.0,122.0,103.7,17.9,49.8,58.5,7.4,12.9,10.4,13.4,1.4,0.6,1.6,79.1,3.0,7-8,.875,76-138,.551,3-16,.188,138-178,.775,79-154,.513,31.6,4.3,22-71,.310
526,-,So,6-5,Ishan Sharma,Saint Louis,A10,34,Combo G,56.0,2.6,2.5,4.7,3.6,1.0,131.6,102.1,15.2,61.6,64.4,1.6,10.6,9.8,8.6,2.7,0.3,1.6,21.4,2.5,0-0,.000,11-19,.579,6-12,.500,41-47,.872,17-31,.548,85.9,13.8,79-189,.418
527,-,Jr,6-6,Coen Carr,Michigan St.,B10,35,Wing F,72.6,2.6,4.0,5.1,2.3,2.8,112.9,94.7,19.5,55.4,57.4,6.5,15.1,7.9,14.4,0.9,3.6,0.9,47.8,2.0,67-70,.957,111-149,.745,23-74,.311,90-143,.629,134-223,.601,25.4,4.4,21-76,.276
528,-,Sr,6-10,Mohamed Wague,Oklahoma,SEC,37,C,55.2,2.6,2.6,5.1,2.6,2.5,126.1,100.7,17.5,60.4,63.3,16.9,17.7,9.4,17.7,1.1,7.5,2.0,91.4,5.2,22-27,.815,81-127,.638,2-8,.250,85-128,.664,83-135,.615,3.6,0.4,1-5,.200
